features,dtype,nan_count,nan_ratio,std
Unnamed: 0.1,int64,0,0.0,84669900011.86696
Unnamed: 0,int64,0,0.0,304233010464.7573
member_id,float64,1007987,100.0,
loan_amnt,float64,33,0.0032738517461038683,76979989.34086719
funded_amnt,float64,33,0.0032738517461038683,76892616.76256229
funded_amnt_inv,float64,33,0.0032738517461038683,77060194.42109606
term,object,33,0.0032738517461038683,
int_rate,float64,33,0.0032738517461038683,23.63510586701606
installment,float64,33,0.0032738517461038683,69359.95636129976
grade,object,33,0.0032738517461038683,
sub_grade,object,33,0.0032738517461038683,
emp_title,object,67847,6.7309399823608835,
emp_length,object,60230,5.975275474782909,
home_ownership,object,33,0.0032738517461038683,
annual_inc,float64,37,0.003670682260783125,4746466645.455861
verification_status,object,33,0.0032738517461038683,
issue_d,object,33,0.0032738517461038683,
loan_status,object,33,0.0032738517461038683,
pymnt_plan,object,33,0.0032738517461038683,
url,object,33,0.0032738517461038683,
desc,object,882052,87.50628728346696,
purpose,object,33,0.0032738517461038683,
title,object,15840,1.5714488381298568,
zip_code,object,34,0.0033730593747736824,
addr_state,object,33,0.0032738517461038683,
dti,float64,327,0.032440894575029244,124.16083118598532
delinq_2yrs,float64,62,0.006150872977528481,0.7559079216917479
earliest_cr_line,object,62,0.006150872977528481,
fico_range_low,float64,33,0.0032738517461038683,993.3091989956038
fico_range_high,float64,33,0.0032738517461038683,993.3463498419073
inq_last_6mths,float64,63,0.006250080606198294,0.9886214385211963
mths_since_last_delinq,float64,512283,50.82238163785843,479.4890113835448
mths_since_last_record,float64,838190,83.15484227475156,736.5250666250465
open_acc,float64,62,0.006150872977528481,29.56736146872749
pub_rec,float64,62,0.006150872977528481,0.358427521721111
revol_bal,float64,33,0.0032738517461038683,467467566.023029
revol_util,float64,783,0.07767957324846451,603.412368169946
total_acc,float64,62,0.006150872977528481,143.09241194795763
initial_list_status,object,33,0.0032738517461038683,
out_prncp,float64,33,0.0032738517461038683,6558874.445348482
out_prncp_inv,float64,33,0.0032738517461038683,6556669.4967544265
total_pymnt,float64,33,0.0032738517461038683,105543014.27296154
total_pymnt_inv,float64,33,0.0032738517461038683,105554216.05459444
total_rec_prncp,float64,33,0.0032738517461038683,76716766.91223997
total_rec_int,float64,33,0.0032738517461038683,7630900.512348513
total_rec_late_fee,float64,33,0.0032738517461038683,207.92787312001477
recoveries,float64,33,0.0032738517461038683,1197718.912517737
collection_recovery_fee,float64,33,0.0032738517461038683,37018.633877433414
last_pymnt_d,object,2460,0.24405076652774293,
last_pymnt_amnt,float64,33,0.0032738517461038683,46909322.263159476
next_pymnt_d,object,970946,96.32525022644141,
last_credit_pull_d,object,83,0.00823423317959458,
last_fico_range_high,float64,33,0.0032738517461038683,7315.654793311874
last_fico_range_low,float64,33,0.0032738517461038683,21335.356156547958
collections_12_mths_ex_med,float64,178,0.017658957903226927,0.020872412229532084
mths_since_last_major_derog,float64,750857,74.49074244013067,458.49973308177726
policy_code,float64,33,0.0032738517461038683,0.0
application_type,object,33,0.0032738517461038683,
annual_inc_joint,float64,984299,97.64996969206943,3542701000.1138034
dti_joint,float64,984301,97.65016810732678,59.97502549031676
verification_status_joint,object,984518,97.67169616274813,
acc_now_delinq,float64,62,0.006150872977528481,0.005535052242540376
tot_coll_amt,float64,70309,6.975189164145966,94260990.95057562
tot_cur_bal,float64,70309,6.975189164145966,24215363444.29436
open_acc_6m,float64,528539,52.435100849514924,1.4751327675545034
open_act_il,float64,528538,52.43500164188626,8.928095199890047
open_il_12m,float64,528538,52.43500164188626,0.9868744076911169
open_il_24m,float64,528538,52.43500164188626,2.8543564849375236
mths_since_rcnt_il,float64,541564,53.727280212939256,627.127154124618
total_bal_il,float64,528538,52.43500164188626,1839027396.5288422
il_util,float64,593022,58.832306369030555,525.8024891716303
open_rv_12m,float64,528538,52.43500164188626,2.5091641693217888
open_rv_24m,float64,528538,52.43500164188626,7.382935488446285
max_bal_bc,float64,528538,52.43500164188626,30357774.996978816
all_util,float64,528590,52.44016043857709,434.40797779689854
total_rev_hi_lim,float64,70309,6.975189164145966,1254542674.343422
inq_fi,float64,528538,52.43500164188626,2.550020991123324
total_cu_tl,float64,528539,52.435100849514924,7.958295623069624
inq_last_12m,float64,528539,52.435100849514924,6.515241650256208
acc_open_past_24mths,float64,50063,4.966631514096908,10.248614625615586
avg_cur_bal,float64,70331,6.977371731976702,259855850.36250436
bc_open_to_buy,float64,60525,6.004541725240504,223896688.6654645
bc_util,float64,61092,6.0607924506962885,798.3202502517644
chargeoff_within_12_mths,float64,178,0.017658957903226927,0.011520438141834828
delinq_amnt,float64,62,0.006150872977528481,685319.5297434027
mo_sin_old_il_acct,float64,98495,9.771455385833349,2755.0047584493523
mo_sin_old_rev_tl_op,float64,70310,6.975288371774637,8894.894290429775
mo_sin_rcnt_rev_tl_op,float64,70310,6.975288371774637,256.92917237474506
mo_sin_rcnt_tl,float64,70309,6.975189164145966,73.87758477693833
mort_acc,float64,50063,4.966631514096908,3.9831061986210035
mths_since_recent_bc,float64,59754,5.928052643536078,907.1905215370866
mths_since_recent_bc_dlq,float64,774325,76.81894706975388,511.23999887168225
mths_since_recent_inq,float64,139502,13.839662614696419,33.89921803061474
mths_since_recent_revol_delinq,float64,678339,67.29640362425309,499.7683899506214
num_accts_ever_120_pd,float64,70309,6.975189164145966,1.7332972494941474
num_actv_bc_tl,float64,70309,6.975189164145966,5.0781738627749435
num_actv_rev_tl,float64,70309,6.975189164145966,10.922528649435794
num_bc_sats,float64,58623,5.815848815510518,8.58017981313418
num_bc_tl,float64,70309,6.975189164145966,22.946504822397923
num_il_tl,float64,70309,6.975189164145966,54.520824449843275
num_op_rev_tl,float64,70309,6.975189164145966,20.596981362158893
num_rev_accts,float64,70309,6.975189164145966,64.86538530124591
num_rev_tl_bal_gt_0,float64,70309,6.975189164145966,10.383090081623262
num_sats,float64,58623,5.815848815510518,29.740879211889006
num_tl_120dpd_2m,float64,106271,10.542893906369825,0.0009541460929352473
num_tl_30dpd,float64,70309,6.975189164145966,0.003719720360925992
