features,dtype,nan_count,nan_ratio,std,,features,dtype,nan_count,nan_ratio,std
chargeoff_within_12_mths,float64,178,0.017658958,0.011520438,,,,,,
delinq_amnt,float64,62,0.006150873,685319.5297,,,,,,
mo_sin_old_il_acct,float64,98495,9.771455386,2755.004758,,,,,,
mo_sin_old_rev_tl_op,float64,70310,6.975288372,8894.89429,,,,,,
mo_sin_rcnt_rev_tl_op,float64,70310,6.975288372,256.9291724,,,,,,
mo_sin_rcnt_tl,float64,70309,6.975189164,73.87758478,,,,,,
mort_acc,float64,50063,4.966631514,3.983106199,,,,,,
mths_since_recent_bc,float64,59754,5.928052644,907.1905215,,,,,,
mths_since_recent_bc_dlq,float64,774325,76.81894707,511.2399989,,,,,,
mths_since_recent_inq,float64,139502,13.83966261,33.89921803,,,,,,
mths_since_recent_revol_delinq,float64,678339,67.29640362,499.76839,,,,,,
num_accts_ever_120_pd,float64,70309,6.975189164,1.733297249,,,,,,
num_actv_bc_tl,float64,70309,6.975189164,5.078173863,,,,,,
num_actv_rev_tl,float64,70309,6.975189164,10.92252865,,,,,,
num_bc_sats,float64,58623,5.815848816,8.580179813,,,,,,
num_bc_tl,float64,70309,6.975189164,22.94650482,,,,,,
num_il_tl,float64,70309,6.975189164,54.52082445,,,,,,
num_op_rev_tl,float64,70309,6.975189164,20.59698136,,,,,,
num_rev_accts,float64,70309,6.975189164,64.8653853,,,,,,
num_rev_tl_bal_gt_0,float64,70309,6.975189164,10.38309008,,,,,,
num_sats,float64,58623,5.815848816,29.74087921,,,,,,
num_tl_120dpd_2m,float64,106271,10.54289391,0.000954146,,,,,,
num_tl_30dpd,float64,70309,6.975189164,0.00371972,,,,,,
num_tl_90g_dpd_24m,float64,70309,6.975189164,0.24633199,,,,,,
num_tl_op_past_12m,float64,70309,6.975189164,3.417063801,,,,,,
pct_tl_nvr_dlq,float64,70462,6.990367931,75.72561761,,,,,,
percent_bc_gt_75,float64,60724,6.024284043,1292.143881,,,,,,
pub_rec_bankruptcies,float64,1398,0.138692265,0.141371027,,,,,,
tax_liens,float64,138,0.013690653,0.15921977,,,,,,
tot_hi_cred_lim,float64,70309,6.975189164,30833567974,,,,,,
total_bal_ex_mort,float64,50063,4.966631514,2212258647,,,,,,
total_bc_limit,float64,50063,4.966631514,442842946.1,,,,,,
total_il_high_credit_limit,float64,70309,6.975189164,1841706444,,,,,,
revol_bal_joint,float64,991327,98.34720091,730361915.9,,,,,,
sec_app_fico_range_low,float64,991326,98.3471017,2091.244221,,,,,,
sec_app_fico_range_high,float64,991326,98.3471017,2091.244221,,,,,,
sec_app_earliest_cr_line,object,991326,98.3471017,,,,,,,
sec_app_inq_last_6mths,float64,991326,98.3471017,1.308282254,,,,,,
sec_app_mort_acc,float64,991326,98.3471017,3.212173753,,,,,,
sec_app_open_acc,float64,991326,98.3471017,43.35158894,,,,,,
sec_app_revol_util,float64,991649,98.37914576,689.7409994,,,,,,
sec_app_open_act_il,float64,991326,98.3471017,10.71483137,,,,,,
sec_app_num_rev_accts,float64,991326,98.3471017,68.73206613,,,,,,
sec_app_chargeoff_within_12_mths,float64,991326,98.3471017,0.224643522,,,,,,
sec_app_collections_12_mths_ex_med,float64,991326,98.3471017,0.221468067,,,,,,
sec_app_mths_since_last_major_derog,float64,1001691,99.37538877,571.9180042,,,,,,
hardship_flag,object,33,0.003273852,,,,,,,
hardship_type,object,1000825,99.28947496,,,,,,,
hardship_reason,object,1000825,99.28947496,,,,,,,
hardship_status,object,1000825,99.28947496,,,,,,,
deferral_term,float64,1000825,99.28947496,0,,,,,,
hardship_amount,float64,1000825,99.28947496,17983.3761,,,,,,
hardship_start_date,object,1000825,99.28947496,,,,,,,
hardship_end_date,object,1000825,99.28947496,,,,,,,
payment_plan_start_date,object,1000825,99.28947496,,,,,,,
hardship_length,float64,1000825,99.28947496,0,,,,,,
hardship_dpd,float64,1000825,99.28947496,85.05138384,,,,,,
hardship_loan_status,object,1000825,99.28947496,,,,,,,
orig_projected_additional_accrued_interest,float64,1002975,99.50277137,152061.6459,,,,,,
hardship_payoff_balance_amount,float64,1000825,99.28947496,59019586.09,,,,,,
hardship_last_payment_amount,float64,1000825,99.28947496,39956.89607,,,,,,
disbursement_method,object,33,0.003273852,,,,,,,
debt_settlement_flag,object,33,0.003273852,,,,,,,
debt_settlement_flag_date,object,973771,96.60551178,,,,,,,
settlement_status,object,973771,96.60551178,,,,,,,
settlement_date,object,973771,96.60551178,,,,,,,
settlement_amount,float64,973771,96.60551178,13620081.29,,,,,,
settlement_percentage,float64,973771,96.60551178,53.35880514,,,,,,
settlement_term,float64,973771,96.60551178,66.62209329,,,,,,
